animal,pair,group,epoch,lag_ms,r_mean,n_ccs
28,CA1-CA3,all,expert,-250,0.017225999999999998,10
28,CA1-CA3,all,expert,-240,0.016855000000000002,10
28,CA1-CA3,all,expert,-230,0.016982,10
28,CA1-CA3,all,expert,-220,0.016262,10
28,CA1-CA3,all,expert,-210,0.013458000000000001,10
28,CA1-CA3,all,expert,-200,0.009184999999999999,10
28,CA1-CA3,all,expert,-190,0.010331,10
28,CA1-CA3,all,expert,-180,0.013755999999999999,10
28,CA1-CA3,all,expert,-170,0.018168,10
28,CA1-CA3,all,expert,-160,0.018242,10
28,CA1-CA3,all,expert,-150,0.015722,10
28,CA1-CA3,all,expert,-140,0.014443000000000001,10
28,CA1-CA3,all,expert,-130,0.018951000000000003,10
28,CA1-CA3,all,expert,-120,0.016762,10
28,CA1-CA3,all,expert,-110,0.015553,10
28,CA1-CA3,all,expert,-100,0.013391,10
28,CA1-CA3,all,expert,-90,0.011278,10
28,CA1-CA3,all,expert,-80,0.009347,10
28,CA1-CA3,all,expert,-70,0.011612,10
28,CA1-CA3,all,expert,-60,0.014704,10
28,CA1-CA3,all,expert,-50,0.01685,10
28,CA1-CA3,all,expert,-40,0.017499,10
28,CA1-CA3,all,expert,-30,0.019538,10
28,CA1-CA3,all,expert,-20,0.021634,10
28,CA1-CA3,all,expert,-10,0.026104,10
28,CA1-CA3,all,expert,0,0.028343,10
28,CA1-CA3,all,expert,10,0.021789,10
28,CA1-CA3,all,expert,20,0.017667,10
28,CA1-CA3,all,expert,30,0.015512000000000001,10
28,CA1-CA3,all,expert,40,0.010145999999999999,10
28,CA1-CA3,all,expert,50,0.005888,10
28,CA1-CA3,all,expert,60,0.006396000000000001,10
28,CA1-CA3,all,expert,70,0.006253,10
28,CA1-CA3,all,expert,80,0.008676,10
28,CA1-CA3,all,expert,90,0.010912,10
28,CA1-CA3,all,expert,100,0.013547,10
28,CA1-CA3,all,expert,110,0.018126,10
28,CA1-CA3,all,expert,120,0.018377,10
28,CA1-CA3,all,expert,130,0.019036,10
28,CA1-CA3,all,expert,140,0.018847,10
28,CA1-CA3,all,expert,150,0.016072,10
