animal,pair,group,epoch,lag_ms,r_mean,n_ccs
28,CA1-CA3,all,expert,-250,0.024529000000000002,10
28,CA1-CA3,all,expert,-240,0.018328,10
28,CA1-CA3,all,expert,-230,0.014896999999999999,10
28,CA1-CA3,all,expert,-220,0.010665,10
28,CA1-CA3,all,expert,-210,0.006971999999999999,10
28,CA1-CA3,all,expert,-200,0.004758,10
28,CA1-CA3,all,expert,-190,0.005795,10
28,CA1-CA3,all,expert,-180,0.008540999999999998,10
28,CA1-CA3,all,expert,-170,0.018543999999999998,10
28,CA1-CA3,all,expert,-160,0.023698,10
28,CA1-CA3,all,expert,-150,0.029071000000000003,10
28,CA1-CA3,all,expert,-140,0.032121,10
28,CA1-CA3,all,expert,-130,0.034276999999999995,10
28,CA1-CA3,all,expert,-120,0.031117,10
28,CA1-CA3,all,expert,-110,0.023030000000000002,10
28,CA1-CA3,all,expert,-100,0.015342,10
28,CA1-CA3,all,expert,-90,0.009445,10
28,CA1-CA3,all,expert,-80,0.005771999999999999,10
28,CA1-CA3,all,expert,-70,0.006676,10
28,CA1-CA3,all,expert,-60,0.006083999999999998,10
28,CA1-CA3,all,expert,-50,0.007429000000000001,10
28,CA1-CA3,all,expert,-40,0.011547000000000002,10
28,CA1-CA3,all,expert,-30,0.022086,10
28,CA1-CA3,all,expert,-20,0.033908,10
28,CA1-CA3,all,expert,-10,0.049348,10
28,CA1-CA3,all,expert,0,0.066566,10
28,CA1-CA3,all,expert,10,0.041244,10
28,CA1-CA3,all,expert,20,0.030016000000000004,10
28,CA1-CA3,all,expert,30,0.021092,10
28,CA1-CA3,all,expert,40,0.010870000000000001,10
28,CA1-CA3,all,expert,50,0.004492000000000001,10
28,CA1-CA3,all,expert,60,0.0031759999999999996,10
28,CA1-CA3,all,expert,70,0.0008130000000000006,10
28,CA1-CA3,all,expert,80,0.002617,10
28,CA1-CA3,all,expert,90,0.005603,10
28,CA1-CA3,all,expert,100,0.008803000000000002,10
28,CA1-CA3,all,expert,110,0.01943,10
28,CA1-CA3,all,expert,120,0.02804,10
28,CA1-CA3,all,expert,130,0.028832999999999998,10
28,CA1-CA3,all,expert,140,0.033573,10
28,CA1-CA3,all,expert,150,0.029218,10
28,CA1-CA3,all,expert,160,0.024269,10
28,CA1-CA3,all,expert,170,0.018925,10
28,CA1-CA3,all,expert,180,0.013120999999999999,10
28,CA1-CA3,all,expert,190,0.007392,10
28,CA1-CA3,all,expert,200,0.005043999999999999,10
28,CA1-CA3,all,expert,210,0.004965000000000001,10
28,CA1-CA3,all,expert,220,0.005678000000000001,10
28,CA1-CA3,all,expert,230,0.007502,10
28,CA1-CA3,all,expert,240,0.011792,10
28,CA1-CA3,all,expert,250,0.01694,10
28,CA1-CA3,all,intermediate,-250,0.01643,10
28,CA1-CA3,all,intermediate,-240,0.006108,10
28,CA1-CA3,all,intermediate,-230,0.0005659999999999999,10
28,CA1-CA3,all,intermediate,-220,0.0012030000000000014,10
28,CA1-CA3,all,intermediate,-210,-0.0007039999999999989,10
28,CA1-CA3,all,intermediate,-200,-0.0006759999999999992,10
28,CA1-CA3,all,intermediate,-190,0.005449,10
28,CA1-CA3,all,intermediate,-180,0.010122,10
28,CA1-CA3,all,intermediate,-170,0.019425,10
28,CA1-CA3,all,intermediate,-160,0.02677,10
28,CA1-CA3,all,intermediate,-150,0.036209000000000005,10
28,CA1-CA3,all,intermediate,-140,0.038741000000000005,10
28,CA1-CA3,all,intermediate,-130,0.036134,10
28,CA1-CA3,all,intermediate,-120,0.027192,10
28,CA1-CA3,all,intermediate,-110,0.015325,10
28,CA1-CA3,all,intermediate,-100,0.009306,10
28,CA1-CA3,all,intermediate,-90,0.0017670000000000006,10
28,CA1-CA3,all,intermediate,-80,-0.003793,10
28,CA1-CA3,all,intermediate,-70,-0.0011639999999999995,10
28,CA1-CA3,all,intermediate,-60,9.899999999999978e-05,10
28,CA1-CA3,all,intermediate,-50,0.0043549999999999995,10
28,CA1-CA3,all,intermediate,-40,0.014575000000000001,10
28,CA1-CA3,all,intermediate,-30,0.027419,10
28,CA1-CA3,all,intermediate,-20,0.035757,10
28,CA1-CA3,all,intermediate,-10,0.051254999999999995,10
28,CA1-CA3,all,intermediate,0,0.068523,10
28,CA1-CA3,all,intermediate,10,0.046105,10
28,CA1-CA3,all,intermediate,20,0.034301000000000005,10
28,CA1-CA3,all,intermediate,30,0.019017,10
28,CA1-CA3,all,intermediate,40,0.006504000000000001,10
28,CA1-CA3,all,intermediate,50,-9.000000000000015e-05,10
28,CA1-CA3,all,intermediate,60,-0.0029069999999999994,10
28,CA1-CA3,all,intermediate,70,-0.00611,10
28,CA1-CA3,all,intermediate,80,-0.0057929999999999995,10
28,CA1-CA3,all,intermediate,90,-5.100000000000066e-05,10
28,CA1-CA3,all,intermediate,100,0.011242,10
28,CA1-CA3,all,intermediate,110,0.016466,10
28,CA1-CA3,all,intermediate,120,0.02509,10
28,CA1-CA3,all,intermediate,130,0.037225,10
28,CA1-CA3,all,intermediate,140,0.041654000000000004,10
28,CA1-CA3,all,intermediate,150,0.035894999999999996,10
28,CA1-CA3,all,intermediate,160,0.029032000000000002,10
28,CA1-CA3,all,intermediate,170,0.014983000000000002,10
28,CA1-CA3,all,intermediate,180,0.008495,10
28,CA1-CA3,all,intermediate,190,0.0063019999999999994,10
28,CA1-CA3,all,intermediate,200,0.0011129999999999998,10
28,CA1-CA3,all,intermediate,210,-0.003229,10
28,CA1-CA3,all,intermediate,220,-0.0006540000000000002,10
28,CA1-CA3,all,intermediate,230,0.005547999999999999,10
28,CA1-CA3,all,intermediate,240,0.012636,10
28,CA1-CA3,all,intermediate,250,0.019679,10
28,CA1-CA3,all,naive,-250,0.011688,10
28,CA1-CA3,all,naive,-240,0.0025700000000000002,10
28,CA1-CA3,all,naive,-230,-0.005067,10
28,CA1-CA3,all,naive,-220,-0.013985000000000001,10
28,CA1-CA3,all,naive,-210,-0.019805,10
28,CA1-CA3,all,naive,-200,-0.016147,10
28,CA1-CA3,all,naive,-190,-0.014883000000000002,10
28,CA1-CA3,all,naive,-180,-0.009298,10
28,CA1-CA3,all,naive,-170,-0.0033960000000000006,10
28,CA1-CA3,all,naive,-160,0.008256,10
28,CA1-CA3,all,naive,-150,0.017946,10
28,CA1-CA3,all,naive,-140,0.026257000000000003,10
28,CA1-CA3,all,naive,-130,0.025128,10
28,CA1-CA3,all,naive,-120,0.01659,10
28,CA1-CA3,all,naive,-110,0.005235999999999999,10
28,CA1-CA3,all,naive,-100,-0.004446,10
28,CA1-CA3,all,naive,-90,-0.013399,10
28,CA1-CA3,all,naive,-80,-0.016147,10
28,CA1-CA3,all,naive,-70,-0.017863,10
28,CA1-CA3,all,naive,-60,-0.018390999999999998,10
28,CA1-CA3,all,naive,-50,-0.014286000000000002,10
28,CA1-CA3,all,naive,-40,-0.00836,10
28,CA1-CA3,all,naive,-30,0.003999000000000001,10
28,CA1-CA3,all,naive,-20,0.015820999999999998,10
28,CA1-CA3,all,naive,-10,0.034527,10
28,CA1-CA3,all,naive,0,0.049484,10
28,CA1-CA3,all,naive,10,0.031811,10
28,CA1-CA3,all,naive,20,0.019946,10
28,CA1-CA3,all,naive,30,0.004761,10
28,CA1-CA3,all,naive,40,-0.007526,10
28,CA1-CA3,all,naive,50,-0.015153999999999997,10
28,CA1-CA3,all,naive,60,-0.017115,10
28,CA1-CA3,all,naive,70,-0.018321999999999998,10
28,CA1-CA3,all,naive,80,-0.01768,10
28,CA1-CA3,all,naive,90,-0.012764000000000001,10
28,CA1-CA3,all,naive,100,-0.0033640000000000002,10
28,CA1-CA3,all,naive,110,0.005045000000000001,10
28,CA1-CA3,all,naive,120,0.016262000000000002,10
28,CA1-CA3,all,naive,130,0.025936999999999998,10
28,CA1-CA3,all,naive,140,0.029871,10
28,CA1-CA3,all,naive,150,0.020644,10
28,CA1-CA3,all,naive,160,0.008043999999999999,10
28,CA1-CA3,all,naive,170,-0.0010269999999999997,10
28,CA1-CA3,all,naive,180,-0.009987,10
28,CA1-CA3,all,naive,190,-0.014248,10
28,CA1-CA3,all,naive,200,-0.019221,10
28,CA1-CA3,all,naive,210,-0.015788,10
28,CA1-CA3,all,naive,220,-0.012034,10
28,CA1-CA3,all,naive,230,-0.007357,10
28,CA1-CA3,all,naive,240,0.00020199999999999992,10
28,CA1-CA3,all,naive,250,0.009602000000000001,10
28,CA1-DG,all,expert,-250,0.013655,10
28,CA1-DG,all,expert,-240,0.009093,10
28,CA1-DG,all,expert,-230,0.003732,10
28,CA1-DG,all,expert,-220,0.001155,10
28,CA1-DG,all,expert,-210,-0.000308,10
28,CA1-DG,all,expert,-200,-0.0017479999999999996,10
28,CA1-DG,all,expert,-190,0.0012959999999999996,10
28,CA1-DG,all,expert,-180,0.006351,10
