pair,group,metric,contrast,unit,n,mean_a,mean_b,delta,t,p,bh_pass
CA1-RSC,all,ifi,expert-naive,animals,8,-0.012406400186453028,0.08832257368662969,0.10072897387308269,1.8512997927883552,0.10656364343089418,False
CA1-CA3,all,ifi,expert-naive,animals,7,0.02373213112374701,0.029003898572791297,0.005271767449044297,0.09239055519900839,0.9293953709725171,False
CA1-DG,all,ifi,expert-naive,animals,8,-0.0031569754342470197,0.02982837736332064,0.03298535279756766,0.5037802773598004,0.6298802185574148,False
CA1-V1,all,ifi,expert-naive,animals,10,-4.9153950161714975e-05,-0.02654313684170439,-0.02649398289154268,-1.436074791112231,0.1848135108763996,False
CA3-DG,all,ifi,expert-naive,animals,4,-0.15412400465480763,-0.12857071335872228,0.02555329129608535,0.5540713559157738,0.6181535436697377,False
CA1-SUB,all,ifi,expert-naive,animals,4,-0.25606072643456174,0.013553124719090731,0.2696138511536525,1.3477337312574595,0.27048475723395743,False
RSC-SUB,all,ifi,expert-naive,animals,4,-0.03805954621332364,-0.062025263655213964,-0.023965717441890324,-1.1713608337590333,0.3260234141117242,False
V1-RSC,all,ifi,expert-naive,animals,6,0.041363379152967006,0.0261687820134389,-0.015194597139528102,-0.7310911394181758,0.4975301333503501,False
CA1-RSC,all,ifi,expert-naive,ccs,79,-0.010549096081760015,0.0887058121106872,0.09925490819244724,2.188185281364443,0.03164923446589978,False
CA1-CA3,all,ifi,expert-naive,ccs,70,0.023732131123747006,0.029003898572791297,0.005271767449044302,0.0842184100827369,0.9331266530374942,False
CA1-DG,all,ifi,expert-naive,ccs,75,-0.0014664519168266906,0.035826701998388354,0.03729315391521505,0.733797091447519,0.4653910015341909,False
CA1-V1,all,ifi,expert-naive,ccs,98,0.0016435763257420324,-0.02278936042962689,-0.02443293675536893,-0.8376691167732513,0.4042758129149794,False
CA3-DG,all,ifi,expert-naive,ccs,40,-0.15412400465480763,-0.12857071335872228,0.025553291296085346,0.3852592503559623,0.702138635359089,False
CA1-SUB,all,ifi,expert-naive,ccs,36,-0.25083536687445424,-0.037517663671022286,0.21331770320343196,2.4787331353503705,0.018151582228510682,False
RSC-SUB,all,ifi,expert-naive,ccs,36,-0.03146630603767724,-0.05187905104660798,-0.020412745008930738,-0.6192218436510548,0.5397802921073505,False
V1-RSC,all,ifi,expert-naive,ccs,60,0.041363379152967,0.026168782013438904,-0.015194597139528103,-1.1371516624667248,0.2600722054381207,False
CA1-RSC,all,peak_r,expert-naive,animals,8,0.03839481944444444,0.05507752777777778,0.016682708333333334,3.038615580796937,0.018883736726611186,False
CA1-CA3,all,peak_r,expert-naive,animals,7,0.08272614285714286,0.09484957142857142,0.012123428571428573,2.7978771484603167,0.0312512555204775,False
CA1-DG,all,peak_r,expert-naive,animals,8,0.058343124999999996,0.061043375000000004,0.002700250000000001,0.9061578208444157,0.3949723813310459,False
CA1-V1,all,peak_r,expert-naive,animals,10,0.04115625,0.0633003,0.02214405,5.03482005443342,0.0007047314847578998,True
CA3-DG,all,peak_r,expert-naive,animals,4,0.130174,0.1460025,0.015828500000000002,7.390161459889184,0.005123865579339396,True
CA1-SUB,all,peak_r,expert-naive,animals,4,0.03283625,0.04500008333333333,0.012163833333333334,2.1785086349770646,0.11751335750768527,False
RSC-SUB,all,peak_r,expert-naive,animals,4,0.06380991666666667,0.07904975,0.015239833333333327,2.4351998908946513,0.09289741684935071,False
V1-RSC,all,peak_r,expert-naive,animals,6,0.09472383333333334,0.12341099999999999,0.028687166666666663,2.8377758803758644,0.036341222474246274,False
CA1-RSC,all,peak_r,expert-naive,ccs,79,0.038512151898734186,0.05512354430379748,0.01661139240506329,5.473112731610436,5.187466584966526e-07,True
CA1-CA3,all,peak_r,expert-naive,ccs,70,0.08272614285714285,0.09484957142857144,0.012123428571428573,2.925711827665278,0.004648501715111869,True
CA1-DG,all,peak_r,expert-naive,ccs,75,0.06035359999999999,0.06265826666666666,0.002304666666666667,0.9180767696081138,0.3615613758645011,False
CA1-V1,all,peak_r,expert-naive,ccs,98,0.041605714285714274,0.06398438775510204,0.022378673469387753,5.994962732005684,3.4796291084855476e-08,True
CA3-DG,all,peak_r,expert-naive,ccs,40,0.130174,0.1460025,0.015828500000000002,5.617698067086684,1.7584079164929682e-06,True
CA1-SUB,all,peak_r,expert-naive,ccs,36,0.03495694444444444,0.048265833333333334,0.01330888888888889,3.4702548960724955,0.0013993897720871106,True
RSC-SUB,all,peak_r,expert-naive,ccs,36,0.06427083333333333,0.07999416666666667,0.015723333333333336,3.5980132372156923,0.0009809745252270514,True
V1-RSC,all,peak_r,expert-naive,ccs,60,0.09472383333333334,0.12341099999999998,0.028687166666666673,6.078062006586724,9.592908365734763e-08,True
CA1-RSC,all,peak_r,intermediate-naive,animals,8,0.03839481944444444,0.0548935,0.016498680555555555,2.664824976724696,0.03224070871650794,False
CA1-CA3,all,peak_r,intermediate-naive,animals,7,0.08272614285714286,0.09365142857142858,0.010925285714285717,2.658535229792882,0.03759749111132289,False
CA1-DG,all,peak_r,intermediate-naive,animals,8,0.058343124999999996,0.062885,0.004541875000000004,1.6582069726773934,0.1412405511962786,False
CA1-V1,all,peak_r,intermediate-naive,animals,10,0.04115625,0.057961950000000005,0.0168057,4.926253998437161,0.0008175413176272646,True
CA3-DG,all,peak_r,intermediate-naive,animals,4,0.130174,0.1476205,0.017446499999999993,4.249378837768266,0.023880387684033548,False
CA1-SUB,all,peak_r,intermediate-naive,animals,4,0.03283625,0.04721466666666667,0.014378416666666664,2.197882820178024,0.11540010897610886,False
RSC-SUB,all,peak_r,intermediate-naive,animals,4,0.06380991666666667,0.07959675,0.015786833333333326,2.2676702460997378,0.10815726895891559,False
V1-RSC,all,peak_r,intermediate-naive,animals,6,0.09472383333333334,0.12047633333333331,0.025752499999999998,2.9109696728648395,0.03336206191507108,False
CA1-RSC,all,peak_r,intermediate-naive,ccs,79,0.038512151898734186,0.05504620253164557,0.016534050632911395,5.500464675473637,4.639692129035513e-07,True
CA1-CA3,all,peak_r,intermediate-naive,ccs,70,0.08272614285714285,0.09365142857142857,0.010925285714285717,2.7785772673659004,0.007027479222455099,True
CA1-DG,all,peak_r,intermediate-naive,ccs,75,0.06035359999999999,0.06447440000000002,0.0041208,1.9045110458210437,0.06073053729459254,False
CA1-V1,all,peak_r,intermediate-naive,ccs,98,0.041605714285714274,0.05871622448979591,0.017110510204081632,5.4829089069330434,3.318030637061212e-07,True
CA3-DG,all,peak_r,intermediate-naive,ccs,40,0.130174,0.14762050000000002,0.0174465,5.481933252666875,2.712118603989317e-06,True
CA1-SUB,all,peak_r,intermediate-naive,ccs,36,0.03495694444444444,0.050706111111111105,0.015749166666666665,3.9578367623755915,0.00035264127422816443,True
RSC-SUB,all,peak_r,intermediate-naive,ccs,36,0.06427083333333333,0.08013527777777776,0.01586444444444444,3.5855071341449185,0.0010158921435335885,True
